Schedule — Milestones,,,,,,,,,,
,,,,,,,,,,
Schedule Overview,,,,,,,,,,
,,,,,,,,,,
Project Start,Current Phase,Schedule Status,Target Completion,Months Elapsed,Milestones Completed,Total Milestones,Overall Progress %,,,
"Feb 2, 2026",Design,Yellow,"Dec 1, 2026",1.7,0,12,0.0%,,,
,,,,,,,,,,
Milestone Register,,,,,,,,,,
,,,,,,,,,,
Milestone ID,Workstream,Phase,Milestone Name,Owner,Status,Progress %,Critical Path,Start Date,End Date,Notes
M01,Legal,,Legal entity integration decision,Trent Smyth,At Risk,,Y,"Feb 2, 2026","Mar 31, 2026",
M02,People,,Aligned Mission & Values,Emily Whiting / Chris Holtby,In Progress,,Y,"Mar 23, 2026","Apr 15, 2026",
M03,Product,,Product portfolio alignment,Kaitlin Boileau / Rich Williams,In Progress,,N,"Feb 2, 2026","Apr 30, 2026",
M04,Brand,,Messaging and brand alignment,Nick Langford,Not Started,,N,"Mar 1, 2026","Jun 30, 2026",
M05,People,,Org structure alignment,Emily Whiting / Chris Holtby,Not Started,,N,"Apr 15, 2026","May 31, 2026",
M06,Tech,,Systems audit across CSA + Vannin,James Warren,Not Started,,N,"Apr 1, 2026","May 31, 2026",
M07,Tech,,Systems integration plan,James Warren,Not Started,,N,"May 1, 2026","Jun 30, 2026",
M08,Finance,,Integrated financial reporting model,Hugo Huempel,Not Started,,N,,,
M09,People,,Team integration & culture alignment,Emily Whiting / Chris Holtby,Not Started,,N,,,
M10,Finance,,Shared financial reporting cadence,Hugo Huempel,Not Started,,N,,,
M11,Brand,,Joint go-to-market communications,Nick Langford,Not Started,,N,,,
M12,Product,,Integration of coaching offering,Kaitlin Boileau / Rich Williams,Not Started,,N,,,
M13,Tech,,Systems integration implementation,James Warren,Not Started,,N,,,